author_name,book_title,author_average_rating,author_rating_count,author_review_count,book_average_rating,num_ratings,num_reviews,pages,genre_Childrens,genre_Classics,genre_Fantasy,genre_Fiction,genre_Historical,genre_History,genre_Horror,genre_Mystery,genre_New Adult,genre_Nonfiction,genre_Paranormal,genre_Romance,genre_Science Fiction,genre_Sequential Art,genre_Young Adult,author_gender_female,author_gender_male,starrating
"Ella Frank
","
      Take
",4.22,124474,17886,4.45,10847,1356,346,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,*****
"Abigail Roux
","
      Ball & Chain
",4.26,135482,15558,4.11,6833,1009,288,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,*****
"Maria V. Snyder
","
      Inside Out
",4.04,459950,35867,3.82,23024,1920,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,*****
"Sheri S. Tepper
","
      The Gate to Women's Country
",3.95,60918,3443,4.05,11188,684,315,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,*****
"Eoin Colfer
","
      The Supernaturalist
",3.93,1257985,35836,3.85,25766,1115,267,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Robert A. Heinlein
","
      Stranger in a Strange Land
",3.93,999390,31085,3.91,249232,7108,528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Paolo Bacigalupi
","
      Ship Breaker
",3.78,159937,18836,3.74,36929,4306,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,*****
"William F. Nolan
","
      Logan's Run
",3.81,30045,2102,3.67,9089,519,149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Kurt Vonnegut
","
      Player Piano
",4.06,2203230,69611,3.86,40978,1638,341,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Larry Niven
","
      Lucifer's Hammer
",3.91,424960,14236,3.99,37006,1285,629,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"George R. Stewart
","
      Earth Abides
",3.97,23621,1993,3.96,21287,1678,345,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Pierre Boulle
","
      Planet of the Apes
",3.94,36441,1620,3.93,28780,1229,268,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Stephen King
","
      Cell
",4.03,12129201,442455,3.65,171440,5347,449,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,*****
"Philip K. Dick
","
      A Scanner Darkly
",3.93,905757,46808,4.03,73071,2644,219,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Jasper Fforde
","
      Shades of Grey
",4.02,374616,31452,4.14,29545,3900,400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Neal Stephenson
","
      The Diamond Age: Or, A Young Lady's Illustrated Primer
",4.06,706609,43668,4.19,73645,3109,499,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Alexandra Bracken
","
      The Darkest Minds
",4.18,301145,38583,4.21,120677,14943,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,*****
"Pierce Brown
","
      Red Rising
",4.36,417562,42828,4.27,179802,20262,382,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Richard Bachman
","
      The Running Man
",3.84,548014,15236,3.86,84322,2464,317,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,*****
"Ray Bradbury
","
      The Martian Chronicles
",4.01,1965005,73635,4.13,179545,6240,182,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Joe Haldeman
","
      The Forever War
",3.98,197877,10221,4.15,118635,5080,278,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Robert R. McCammon
","
      Swan Song
",4.1,170647,11527,4.28,48928,2900,956,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,*****
"Nevil Shute
","
      On the Beach
",4.04,95123,7076,3.93,30836,2135,296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"David Brin
","
      The Postman
",3.9,178771,6474,3.88,28359,1154,321,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Emily St. John Mandel
","
      Station Eleven
",4.01,255229,31929,4.03,241011,29749,336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Pat Frank
","
      Alas, Babylon
",4.07,35351,2954,4.07,34925,2870,323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"John Wyndham
","
      The Chrysalids
",3.93,155157,7244,3.92,37299,1821,200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Thomas More
","
      Utopia
",3.53,53009,2436,3.52,51734,2310,135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Ann Aguirre
","
      Enclave
",3.94,195190,18552,3.92,61672,4920,259,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,*****
"Octavia E. Butler
","
      Parable of the Sower
",4.16,252639,25324,4.15,38838,3853,345,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,*****
"M.T. Anderson
","
      Feed
",3.64,123756,15422,3.54,49955,6132,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,*****
"Ursula K. Le Guin
","
      The Dispossessed
",4.05,824980,45633,4.2,68558,4150,387,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,*****
"Franz Kafka
","
      The Trial
",3.89,949986,30157,3.99,190319,5836,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Beth Revis
","
      Across the Universe
",3.88,214575,23572,3.77,106247,10035,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,*****
"Nancy Farmer
","
      The House of the Scorpion
",4.02,123724,10203,4.1,70580,5919,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,*****
"Ayn Rand
","
      Atlas Shrugged
",3.75,787974,38637,3.68,324357,15864,1168,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"P.D. James
","
      The Children of Men
",3.72,329454,23755,3.68,35286,2698,241,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"William Gibson
","
      Neuromancer
",3.89,522845,20564,3.89,227841,7733,271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Walter M. Miller Jr.
","
      A Canticle for Leibowitz
",3.97,85227,4443,3.98,80722,4083,335,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"José Saramago
","
      Blindness
",4.0,336994,28013,4.1,158230,12971,326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Yevgeny Zamyatin
","
      We
",3.94,57629,3642,3.94,56166,3559,255,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Kiera Cass
","
      The Selection
",4.06,1839977,137339,4.14,692298,41032,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,*****
"Susan Beth Pfeffer
","
      Life As We Knew It
",3.83,180909,16831,3.89,105209,9049,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,*****
"Koushun Takami
","
      Battle Royale
",4.21,70232,5167,4.25,46082,4365,617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Marissa Meyer
","
      Cinder
",4.24,1500315,168358,4.15,561412,47266,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,*****
"H.G. Wells
","
      The Time Machine
",3.82,883702,29259,3.88,349223,8865,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Hugh Howey
","
      Wool Omnibus
",4.15,525101,37333,4.24,139515,12782,509,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Max Brooks
","
      World War Z: An Oral History of the Zombie War
",3.97,495046,29259,4.01,380355,23651,342,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,*****
"Margaret Atwood
","
      Oryx and Crake
",4.0,1925727,122708,4.01,190952,11814,389,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Kazuo Ishiguro
","
      Never Let Me Go
",3.83,684759,53564,3.81,387813,26591,288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Alyson Noel
","
      Evermore
",3.69,660729,29294,3.59,246890,9502,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,*****
"Stephenie Meyer
","
      The Twilight Collection
",3.64,9545593,305927,3.79,42838,1159,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,*****
"Cornelia Funke
","
      Dragon Rider
",3.91,704947,30005,3.96,73386,2272,527,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"J.K. Rowling
","
      Harry Potter Series Box Set
",4.45,21098703,516169,4.74,224432,6881,4100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Daphne du Maurier
","
      Rebecca
",4.13,496484,30160,4.22,376064,18329,449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Janet Evanovich
","
      Finger Lickin' Fifteen
",4.0,3157987,134950,3.99,75408,3985,308,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,*****
"James Patterson
","
      School's Out—Forever
",3.97,5327117,260208,4.15,108397,3242,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,*****
"Melissa de la Cruz
","
      The Van Alen Legacy
",3.82,594206,31552,3.95,62718,1521,369,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,*****
"Jane Austen
","
      The Complete Novels
",4.11,5182376,141593,4.55,23605,618,1344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,*****
"Jodi Picoult
","
      Handle with Care
",3.97,3288833,196552,3.97,103721,7833,453,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Kate Jacobs
","
      The Friday Night Knitting Club
",3.42,98039,12147,3.42,67913,8366,352,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Louisa May Alcott
","
      Little Women
",4.04,1670460,29421,4.05,1454495,19863,449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Tatiana de Rosnay
","
      Sarah's Key
",4.04,423781,35023,4.15,376397,27783,294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Betty  Smith
","
      A Tree Grows in Brooklyn
",4.25,347400,18799,4.25,338396,17870,496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Sylvia Plath
","
      The Bell Jar
",4.03,624685,23174,3.99,500687,18796,294,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Douglas Adams
","
      The Ultimate Hitchhiker's Guide to the Galaxy
",4.2,2351569,50433,4.38,255070,4753,815,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,*****
"Amy Tan
","
      The Joy Luck Club
",3.9,857120,23662,3.91,557277,7732,288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Bernhard Schlink
","
      The Reader
",3.72,164599,10495,3.74,154045,9271,216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Melissa Marr
","
      Wicked Lovely
",3.76,385442,25293,3.69,141076,6818,328,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Christopher Paolini
","
      Eldest
",3.95,2070651,48523,3.97,302289,8841,704,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Cormac McCarthy
","
      The Road
",4.01,1042959,71530,3.96,623609,41764,241,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Jerry Spinelli
","
      Stargirl
",3.79,514069,31508,3.75,266126,12898,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,*****
"Mitch Albom
","
      Tuesdays with Morrie
",4.02,1549320,72116,4.09,671940,21928,210,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,*****
"J.R.R. Tolkien
","
      The Return of the King
",4.32,7178020,109211,4.52,573454,7900,490,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Dan Brown
","
      The Lost Symbol
",3.81,6127776,168250,3.69,458068,25603,509,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"P.C. Cast
","
      Marked
",3.94,1956715,56965,3.8,396856,13466,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,*****
"Richelle Mead
","
      Blood Promise
",4.27,2809398,134076,4.35,257560,9267,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,*****
"Greg Mortenson
","
      Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time
",3.65,334498,25551,3.64,307246,21963,349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,*****
"Ken Follett
","
      The Pillars of the Earth
",4.19,1563103,84254,4.3,564581,28541,973,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Philippa Gregory
","
      The Other Boleyn Girl
",3.9,1320251,68925,4.05,421981,16343,661,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Seth Grahame-Smith
","
      Pride and Prejudice and Zombies
",3.53,265405,27504,3.29,119090,12609,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,*****
"Kim Edwards
","
      The Memory Keeper's Daughter
",3.64,538298,20990,3.65,524294,18638,401,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Scott Westerfeld
","
      Pretties
",3.84,1329077,76875,3.85,215791,9856,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,*****
"Jennifer Ashley
","
      The Madness of Lord Ian Mackenzie
",4.02,221710,16809,4.05,25148,2200,320,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,*****
"Nalini Singh
","
      Slave to Sensation
",4.19,832291,55505,4.12,53457,3327,334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,*****
"Gena Showalter
","
      The Darkest Night
",4.16,822349,46922,4.08,70552,3161,379,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,*****
"Katie McGarry
","
      Pushing the Limits
",4.1,233902,22087,4.07,107318,7685,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,*****
"Susan Elizabeth Phillips
","
      This Heart of Mine
",4.03,450714,24453,4.12,25976,1086,432,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,*****
"Julie James
","
      Practice Makes Perfect
",3.99,215337,12889,3.98,26947,1553,291,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,*****
"J. Lynn
","
      Wait for You
",4.07,379607,26939,4.18,123747,7897,332,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,*****
"Jaci Burton
","
      The Perfect Play
",3.98,241250,14342,3.92,35175,1849,324,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,*****
"J.R. Ward
","
      Lover Eternal
",4.3,1755015,97785,4.35,161688,6010,441,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,*****
